time:2023-06-02 17:51:01, log_content:generating version:autra_train_v2.13/, !
time:2023-06-02 18:08:56, log_content:finish-done-tos:perception-dataset-v2/autra_train_v2.13/, version:tos:perception-dataset-v2/autra_train_v2.13/, total_cnt:917, mis_cnt:0!
time:2023-06-02 18:08:56, log_content:generating version:autra_train_v2.18/, !
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156790274048-1660897796910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156616996864-1660898197720.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156527880192-1660895683710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156582131712-1660898511110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129349052416-1661313056120.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156391309312-1660895650020.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156370862080-1660895738910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156861327360-1660898389320.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156802332672-1660897752828.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156533123072-1660896850310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156771399680-1660895696627.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129044441088-1661313780810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129139075072-1661312655828.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156185788416-1660897074820.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155879598080-1660896463710.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155630567424-1660895438310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129412229120-1661313378510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156007249920-1660897799110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129452337152-1661312634910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155649435648-1660898543329.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156061526016-1660896876828.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129435023360-1661312612628.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129081653248-1661313171110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129611726848-1661312709027.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155614576640-1660895743027.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129157169152-1661313547329.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156042127360-1660896924010.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129599649792-1661313324427.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129542258688-1661313511210.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129316546560-1661313592110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156394186752-1660898571229.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129581824000-1661313737610.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156096903168-1660897992327.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156352231424-1660896192410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156233492480-1660895672827.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536128998815744-1661313062110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156073834496-1660896461310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156686745600-1660896461510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155797796864-1660895662828.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156430886912-1660895743110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156443213824-1660896023927.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156829595648-1660898201527.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156230877184-1660897736027.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129624834048-1661312615210.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155670931456-1660895651210.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156673114112-1660895904810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155638413312-1660895956020.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129076690944-1661313514428.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156242411520-1660895654810.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155777886208-1660895784028.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129484306432-1661313404310.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155796504576-1660895836610.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156705351680-1660897334628.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156329437184-1660895740310.bin!
